huā,flower; blossom
yuán,land used for growing plants; site used for public recreation
mén,gate; door; classifier for lessons, subjects, branches of technology
qián,front; forward; ahead; first; top (followed by a number); former
gè,universal measure word
tā,he or him
hòu,back; behind; rear; afterwards; after; later
wài,outside; in addition; foreign; external
nián,year
jì,season
ér,non-syllabic diminutive suffix
kàn,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger)
huāyuán,garden
dàmén,entrance; door; gate
hòumén,the back door; fig. under the counter (indirect way for influence or pressure)
hǎokàn,good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated
gōng,public; collectively owned; common; male (animal)
duǒ,measure word for flower
kě,may, can
méi,(fine jade)
jú,chrysanthemum
lán,orchid (Cymbidium goeringii); fragrant thoroughwort (Eupatorium fortunei); lily magnolia
gōngyuán,park (for public recreation)
kěài,adorable; cute; lovely
méiguī,rugosa rose (shrub) (Rosa rugosa); rose flower
júhuā,chrysanthemum
lánhuā,cymbidium; orchid
mùqián,at the present time; currently
gèrén,individual; personal; oneself
qítā,other; (sth or sb) else; the rest
zhīhòu,afterwards; following; later; after
lìngwài,additional; in addition; besides; separate; other; moreover; furthermore
wàiguó,foreign (country)
jìjié,time; season; period
érzi,son
nǚér,daughter
kànlái,apparently; it seems that
kànjiàn,to see; to catch sight of
========================================
flower; blossom,huā
land used for growing plants; site used for public recreation,yuán
gate; door; classifier for lessons, subjects, branches of technology,mén
front; forward; ahead; first; top (followed by a number); former,qián
universal measure word,gè
he or him,tā
back; behind; rear; afterwards; after; later,hòu
outside; in addition; foreign; external,wài
year,nián
season,jì
non-syllabic diminutive suffix,ér
to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger),kàn
garden,huāyuán
entrance; door; gate,dàmén
the back door; fig. under the counter (indirect way for influence or pressure),hòumén
good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated,hǎokàn
public; collectively owned; common; male (animal),gōng
measure word for flower,duǒ
may, can,kě
(fine jade),méi
chrysanthemum,jú
orchid (蘭花|兰花 Cymbidium goeringii); fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei); lily magnolia (木蘭|木兰),lán
park (for public recreation),gōngyuán
adorable; cute; lovely,kěài
rugosa rose (shrub) (Rosa rugosa); rose flower,méiguī
chrysanthemum,júhuā
cymbidium; orchid,lánhuā
at the present time; currently,mùqián
individual; personal; oneself,gèrén
other; (sth or sb) else; the rest,qítā
afterwards; following; later; after,zhīhòu
additional; in addition; besides; separate; other; moreover; furthermore,lìngwài
foreign (country),wàiguó
time; season; period,jìjié
son,érzi
daughter,nǚér
apparently; it seems that,kànlái
to see; to catch sight of,kànjiàn
========================================
========================================
========================================
花,huā
园,yuán
门,mén
前,qián
个,gè
他,tā
后,hòu
外,wài
年,nián
季,jì
儿,ér
看,kàn
花园,huāyuán
大门,dàmén
后门,hòumén
好看,hǎokàn
公,gōng
朵,duǒ
可,kě
玫,méi
菊,jú
兰,lán
公园,gōngyuán
可爱,kěài
玫瑰,méiguī
菊花,júhuā
兰花,lánhuā
目前,mùqián
个人,gèrén
其他,qítā
之后,zhīhòu
另外,lìngwài
外国,wàiguó
季节,jìjié
儿子,érzi
女儿,nǚér
看来,kànlái
看见,kànjiàn









































































de,expressing possession
jiā,home; family; classifier for families or businesses; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ia
zhè,this; these
yǒu,to have; there is; there are; to exist; to be
hé,and; harmonious
yéye,(coll.) father's father; paternal grandfather
nǎinai,(informal) grandma (paternal grandmother)
bàba,(informal) father
māma,mama; mommy; mother
fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
huí,go back; return
dào,to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)
gěi,to supply; to provide
wán,to finish; to be over; whole; complete; entire
bǎ,sentence structure; handle
fàngxué,to dismiss students at the end of the school day
huíjiā,to return home
dàjiā,everyone
chànggē,to sing a song
guójiā,country; nation; state
zhèyàng,this kind of; so; this way; like this; such
zhǐyǒu,only
hépíng,peace; peaceful
kāifàng,to be open (to the public); to be open-minded; unconstrained in one's sexuality
huídá,to reply; to answer; the answer
dédào,to get; to obtain; to receive
wánquán,complete; whole; totally; entirely
wánchéng,to complete; to accomplish
========================================
expressing possession,de
home; family; classifier for families or businesses; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ia,jiā
this; these,zhè
to have; there is; there are; to exist; to be,yǒu
and; harmonious,hé
(coll.) father's father; paternal grandfather,yéye
(informal) grandma (paternal grandmother),nǎinai
(informal) father,bàba
mama; mommy; mother,māma
to put; to place; to release; to free; to let go; to let out; to set off (fireworks),fàng
go back; return,huí
to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action),dào
to supply; to provide,gěi
to finish; to be over; whole; complete; entire,wán
sentence structure; handle,bǎ
to dismiss students at the end of the school day,fàngxué
to return home,huíjiā
everyone,dàjiā
to sing a song,chànggē
country; nation; state,guójiā
this kind of; so; this way; like this; such,zhèyàng
only,zhǐyǒu
peace; peaceful,hépíng
to be open (to the public); to be open-minded; unconstrained in one's sexuality,kāifàng
to reply; to answer; the answer,huídá
to get; to obtain; to receive,dédào
complete; whole; totally; entirely,wánquán
to complete; to accomplish,wánchéng
========================================
========================================
========================================
的,de
家,jiā
这,zhè
有,yǒu
和,hé
爷爷,yéye
奶奶,nǎinai
爸爸,bàba
妈妈,māma
放,fàng
回,huí
到,dào
给,gěi
完,wán
把,bǎ
放学,fàngxué
回家,huíjiā
大家,dàjiā
唱歌,chànggē
国家,guójiā
这样,zhèyàng
只有,zhǐyǒu
和平,hépíng
开放,kāifàng
回答,huídá
得到,dédào
完全,wánquán
完成,wánchéng
















































xiàng,direction; orientation; to face; to turn toward; to; towards; 
yòng,to use; to employ; to have to; to eat or drink; 
guānxi,relationship
shūfu,comfortable; feeling well
tòngkǔ,pain; suffering; painful
huì,be capable of
gěi,to supply; to provide
qǐlái,(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5]
jiā,home; family; classifier for families or businesses; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ia
tā,she
nǐ,you (informal, as opposed to courteous 您[nin2])
jiù,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
xiàng,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)
hǎo,good
kāi,to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle)
le,final particle
zhēn,really; truly; indeed; real; true; genuine
gāo,high; tall; above average; loud; your (honorific)
xìng,feeling or desire to do sth; interest in sth; excitement
chē,vehicle; car
jiàn,to see
shuō,to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory)
zǎo,early; morning; Good morning!; long ago; prematurely
men,plural marker for pronouns, and nouns referring to individuals
kāixué,foundation of a University or College; school opening; the start of a new term
gāoxìng,happy; glad; willing (to do sth); in a cheerful mood
xiàochē,school bus
nǐmen,you (plural)
kāishǐ,to begin; beginning; to start; initial
líkāi,to depart; to leave
zhēnzhèng,genuine; real; true; genuinely
rènzhēn,conscientious; earnest; serious; to take seriously; to take to heart
tígāo,to raise; to increase; to improve
xìngqù,interest (desire to know about sth); interest (thing in which one is interested); hobby
qìchē,car; automobile; bus; CL:輛|辆[liang4]
yìjiàn,idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2]
kànjiàn,to see; to catch sight of
shuōmíng,to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption
xiǎoshuō,novel; fiction; CL:本[ben3],部[bu4]
rénmen,people
liánghǎo,good; favorable; well; fine
========================================
comfortable; feeling well,shūfu
pain; suffering; painful,tòngkǔ
be capable of,huì
to supply; to provide,gěi
(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5],qǐlái
home; family; classifier for families or businesses; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ia,jiā
she,tā
you (informal, as opposed to courteous 您[nin2]),nǐ
at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,jiù
to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),xiàng
good,hǎo
to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle),kāi
final particle,le
really; truly; indeed; real; true; genuine,zhēn
high; tall; above average; loud; your (honorific),gāo
feeling or desire to do sth; interest in sth; excitement,xìng
vehicle; car,chē
to see,jiàn
to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory),shuō
early; morning; Good morning!; long ago; prematurely,zǎo
plural marker for pronouns, and nouns referring to individuals,men
foundation of a University or College; school opening; the start of a new term,kāixué
happy; glad; willing (to do sth); in a cheerful mood,gāoxìng
school bus,xiàochē
you (plural),nǐmen
to begin; beginning; to start; initial,kāishǐ
to depart; to leave,líkāi
genuine; real; true; genuinely,zhēnzhèng
conscientious; earnest; serious; to take seriously; to take to heart,rènzhēn
to raise; to increase; to improve,tígāo
interest (desire to know about sth); interest (thing in which one is interested); hobby,xìngqù
car; automobile; bus; CL:輛|辆[liang4],qìchē
idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2],yìjiàn
to see; to catch sight of,kànjiàn
to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption,shuōmíng
novel; fiction; CL:本[ben3],部[bu4],xiǎoshuō
people,rénmen
good; favorable; well; fine,liánghǎo
direction; orientation; to face; to turn toward; to; towards; ,xiàng
to use; to employ; to have to; to eat or drink; ,yòng
relationship,guānxi

========================================
========================================
========================================
向,xiàng
用,yòng
关系,guānxi
舒服,shūfu
痛苦,tòngkǔ
会,huì
给,gěi
起来,qǐlái
家,jiā
她,tā
你,nǐ
就,jiù
像,xiàng
好,hǎo
开,kāi
了,le
真,zhēn
高,gāo
兴,xìng
车,chē
见,jiàn
说,shuō
早,zǎo
们,men
开学,kāixué
高兴,gāoxìng
校车,xiàochē
你们,nǐmen
开始,kāishǐ
离开,líkāi
真正,zhēnzhèng
认真,rènzhēn
提高,tígāo
兴趣,xìngqù
汽车,qìchē
意见,yìjiàn
看见,kànjiàn
说明,shuōmíng
小说,xiǎoshuō
人们,rénmen
良好,liánghǎo


========================================

========================================
========================================
========================================








huì,can; be capable of
gěi,to give; to supply; to provide
qǐlái,(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5]
========================================
be capable of,huì
to supply; to provide,gěi
(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); bringing things together (e.g. after 收拾[shou1 shi5]); (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5],qǐlái
========================================
========================================
========================================
会,huì
给,gěi
起来,qǐlái

shūfu,comfortable; feeling well
tòngkǔ,pain; suffering; painful
========================================
comfortable; feeling well,shūfu
pain; suffering; painful,tòngkǔ
========================================
========================================
========================================
舒服,shūfu
痛苦,tòngkǔ





zhèshí,at this time; at this moment
píngshí,ordinarily; in normal times; in peacetime
xué,to learn; to study; to imitate; science; -ology
shēng,to be born; to give birth; life; to grow; raw; uncooked; student
wǒ,I; me; my
shì,to be (only connecting nouns)
ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
shī,teacher; master; expert; model; army division; (old) troops; to dispatch troops
tóng,same
wén,language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 67
xiào,school; military officer; CL:所[suo3]
xuéshēng,student; schoolchild
lǎoshī,teacher,位[wei4]
tóngxué,to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]
zhōngwén,Chinese language
xuéxiào,school; CL:所[suo3]
jiùshì,(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as
àiqíng,romance; love (romantic),份[fen4]
xuéxí,to learn; to study
yǒuqián,rich
lǎobǎn,boss
nánpéngyǒu,boy friend
gōngsī,company
qián,money
cài,dish
========================================
========================================
========================================



at this time; at this moment,zhèshí
ordinarily; in normal times; in peacetime,píngshí
to learn; to study; to imitate; science; -ology,xué
to be born; to give birth; life; to grow; raw; uncooked; student,shēng
